state_id,State,TotalPop,Men,Per_Men,Women,Per_Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,rent_mean,hs_degree,male_age_mean,female_age_mean,married,divorced
0,Alabama,4850771,2350806,0.484625228,2499965,0.515374772,3.298507463,65.16865672,28.67313433,0.607462687,0.711940299,0.017910448,3651914,40271.40299,2513.19403,22180.49254,1195.343284,20.94925373,30.66865672,28.09552239,16.82985075,22.55522388,11.60597015,20.90597015,85.4880597,9.414925373,0.220895522,1.204477612,1.140298507,2.528358209,26.18955224,2055509,78.17164179,16.04925373,5.573134328,0.210447761,9.023880597,764.9508748,0.827588197,38.40421587,40.82417498,0.504455213,0.119903098
1,Alaska,738565,386319,0.523067029,352246,0.476932971,5.093103448,48.42068966,1.179310345,31.62758621,5.982758621,0.544827586,530553,66425.44828,5500.827586,31670.55172,2340.862069,13.55517241,17.86206897,31.86896552,18.72758621,20.36551724,14.78965517,14.24482759,47.02413793,12.0137931,1.075862069,24.69655172,9.74137931,5.455172414,11.2,354045,59.63103448,32.83448276,7.220689655,0.296551724,9.655172414,1190.09359,0.916964476,36.50962943,36.86815219,0.483402095,0.114923905
2,Arizona,6809946,3385055,0.49707516,3424891,0.50292484,30.88666667,50.82666667,1.813333333,13.23333333,1.293333333,0.126666667,4690177,45816.66667,2159.933333,22712.2,805.2,20.19333333,28.47333333,30.00666667,22.56666667,23.22666667,13.15333333,11.07333333,77.52666667,10.96666667,0.973333333,3.32,2.186666667,5.033333333,21.7,2953891,72,21.84666667,5.953333333,0.18,9.766666667,1085.995326,0.850804381,39.01052384,40.27001832,0.508046048,0.108649634
3,Arkansas,2977944,1461651,0.490825549,1516293,0.509174451,5.090666667,75.63466667,16.132,0.54,0.692,0.077333333,2183895,39025.08,2859.333333,21449.30667,1437.586667,20.42133333,29.712,28.50666667,17.64,21.6,13.008,19.256,81.816,11.316,0.286666667,1.970666667,1.361333333,3.250666667,23.01333333,1276536,75.23333333,17.18533333,7.376,0.202666667,7.292,715.2278328,0.835063204,38.45583003,40.54316014,0.534282762,0.1253
4,California,38982847,19366579,0.49679745,19616268,0.50320255,30.07068966,54.76206897,2.944827586,1.65,7.070689655,0.29137931,24970109,61046.75862,2232.396552,30416.48276,1022.12069,15.73793103,20.12758621,34.21206897,20.65517241,21.96034483,12.46724138,10.70344828,73.53965517,10.91896552,2.932758621,3.336206897,2.603448276,6.668965517,25.52758621,17993915,71.14827586,18.88103448,9.567241379,0.405172414,8.265517241,1468.453183,0.810351799,37.37415314,39.15220229,0.496873076,0.081860283
5,Colorado,5436519,2731315,0.502401445,2705204,0.497598555,20.0375,74.6578125,1.4828125,0.83125,1.109375,0.1140625,3893361,54353.5625,4014.9375,29647.04688,2427.171875,13.234375,17.01875,35.03125,19.9171875,20.83125,14.5359375,9.68125,71.7375,10.6203125,1.5953125,5.703125,2.3203125,8.025,21.665625,2760076,71.3546875,18.26875,9.984375,0.403125,5.79375,1197.980483,0.90832009,37.52814919,39.09563621,0.528154443,0.105302575
6,Connecticut,3594478,1754046,0.487983512,1840432,0.512016488,11.425,76.0375,6.475,0.125,3.575,0,2599794,74496,1426.625,39419.125,692.25,9.2,11.8625,41.4125,18.0375,22.6,8.1875,9.775,80.05,7.7875,3.1125,3.1,1.1125,4.8625,25.975,1805086,79.3,14.275,6.25,0.15,6.775,1314.159088,0.89512295,39.19659698,41.47844305,0.513013378,0.091818153
7,Delaware,943732,456876,0.484116253,486856,0.515883747,8.533333333,65.36666667,20.1,0.4,2.866666667,0,697329,61294.66667,1284.333333,31278.33333,686,12.3,18.36666667,36.9,18.5,23.43333333,9.4,11.76666667,82,8.2,1.966666667,1.933333333,1.166666667,4.666666667,25.76666667,441513,79.56666667,15.96666667,4.333333333,0.133333333,6.433333333,1103.488103,0.876217685,39.6664537,41.55436,0.493769907,0.103966852
8,District of ,672391,319046,0.474494751,353345,0.525505249,10.7,36,46.9,0.2,3.7,0,503112,77649,1075,50832,645,17.4,25.5,61.7,15.3,16.7,2.7,3.6,34,5.4,35.4,13.2,6.2,5.7,30,357701,71,24.6,4.3,0.1,8,1459.425053,0.881279796,36.15218316,38.82915235,0.318852347,0.087590714
9,Florida,20950838,10233407,0.488448577,10717431,0.511551423,13.72537313,68.12089552,14.20149254,0.395522388,1.543283582,0.076119403,14964507,47144.32836,2182.074627,25265.97015,1076.955224,17.15074627,24.90149254,31.20895522,21.24328358,24.90895522,12.07462687,10.57761194,79.83731343,10.26268657,1.07761194,1.465671642,2.343283582,5.008955224,26.39104478,9376271,76.19552239,17.34029851,6.298507463,0.156716418,7.765671642,1143.950813,0.864726834,41.80075617,43.72496117,0.501411558,0.117483404
